station_name;location
Luzern;POINT(8.31053029021472 47.0464120957034)
Emmenbrücke;POINT(8.2815326728393 47.0713683930547)
Emmenbrücke Gersag;POINT(8.2769602480425 47.0790218458166)
Emmenbrücke Kapf;POINT(8.27246867162127 47.0903011900083)
Rothenburg Station;POINT(8.2487711144229 47.0886987389384)
Sempach-Neuenkirch;POINT(8.19487219736823 47.1160316614391)
Nottwil;POINT(8.13861071111599 47.1388778148134)
Oberkirch LU;POINT(8.1136824619782 47.1556119853265)
Sursee;POINT(8.09719837651232 47.1713027374808)
Rotkreuz;POINT(8.43328507380674 47.1425623506)
Baar;POINT(8.52357474302616 47.1956755903084)
Hünenberg Zythus;POINT(8.45061357563981 47.1743438495573)
Cham;POINT(8.4589499414776 47.1785205148197)
Cham Alpenblick;POINT(8.47229890660148 47.1826357963749)
Zug Chollermüli;POINT(8.48753433382227 47.179937086906)
Zug Schutzengel;POINT(8.50818660220705 47.1735377886196)
Zug;POINT(8.5158582147345 47.1762062920497)
Baar Lindenpark;POINT(8.51700805829833 47.1838141491112)
Baar Neufeld;POINT(8.51772671052573 47.1891377794711)
Gisikon-Root;POINT(8.39474734811265 47.1214659992509)
Root D4;POINT(8.37450830475861 47.1053202955532)
Buchrain;POINT(8.35736844913523 47.0941542147032)
Ebikon;POINT(8.34310320242142 47.0849493043729)
Hünenberg Chämleten;POINT(8.4496793277442 47.1698126511312)
Laufenburg;POINT(8.06274798536154 47.5604352784193)
Stein-Säckingen;POINT(7.9510784123771 47.5407423951045)
Frenkendorf-Füllinsdorf;POINT(7.71888187770556 47.5016682098899)
Pratteln;POINT(7.68978544564888 47.5227285710266)
Muttenz;POINT(7.64575003041521 47.5344049032854)
Basel SBB;POINT(7.59341418195512 47.5461028905958)
Eiken;POINT(7.99137683602831 47.5323791701968)
Frick;POINT(8.01203808756593 47.5061710198155)
Pratteln Salina Raurica;POINT(7.71059941078482 47.5310205508734)
Kaiseraugst;POINT(7.72528686568222 47.5391596100631)
Rheinfelden Augarten;POINT(7.76898092110788 47.5460180001426)
Rheinfelden;POINT(7.79425053005368 47.5517296083359)
Möhlin;POINT(7.83506997656975 47.5623386932325)
Mumpf;POINT(7.91113931483958 47.5469275335581)
Brugg AG;POINT(8.2113742491398 47.4828456825639)
Etzwilen;POINT(8.81861741498344 47.6611423238445)
Schlattingen;POINT(8.7709887386128 47.6664299998462)
Diessenhofen;POINT(8.75302243292791 47.685047550809)
St. Katharinental;POINT(8.73249592868292 47.6877023392633)
Schlatt TG;POINT(8.68750829924795 47.6795016911819)
Langwiesen;POINT(8.66266988163859 47.6833784118948)
Feuerthalen;POINT(8.64597020050448 47.692171028775)
Schaffhausen;POINT(8.6316241054151 47.6969718733558)
Stein am Rhein;POINT(8.85375052575025 47.6567435857467)
Wil SG;POINT(9.04357352846397 47.4616782177543)
Roggwil-Berg;POINT(9.39201206091675 47.4855896634674)
Häggenschwil-Winden;POINT(9.3587115133298 47.5038589783272)
Muolen;POINT(9.3370800812852 47.5176204958083)
Steinebrunn;POINT(9.34983615832147 47.5315421678118)
Neukirch-Egnach;POINT(9.37583340264751 47.5388018091218)
Romanshorn;POINT(9.37965124260555 47.5633934219808)
Uttwil;POINT(9.34083503917334 47.5856468829324)
Kesswil;POINT(9.31813461194048 47.5952253217912)
Güttingen;POINT(9.29332314378964 47.6082482163952)
Altnau;POINT(9.26608622437135 47.6213768573116)
Uzwil;POINT(9.13091672355107 47.4354651437857)
Landschlacht;POINT(9.24792228932392 47.628605891315)
Münsterlingen Spital;POINT(9.23693589339761 47.6319173510377)
Münsterlingen-Scherzingen;POINT(9.22813240361202 47.6333278359725)
Bottighofen;POINT(9.21399292103801 47.6403131100294)
Kurzrickenbach Seepark;POINT(9.19688899802599 47.6431335885935)
Kreuzlingen Hafen;POINT(9.18274053229914 47.6487256751813)
Kreuzlingen;POINT(9.16688526753222 47.6531250887204)
Flawil;POINT(9.19025943122826 47.4150080530908)
Gossau SG;POINT(9.25689645901353 47.4116828729485)
St. Gallen Winkeln;POINT(9.3021805324923 47.4037368482578)
St. Gallen Bruggen;POINT(9.33072000907275 47.4074516272172)
St. Gallen;POINT(9.3701380837454 47.4241071525981)
St. Gallen St. Fiden;POINT(9.39380869148524 47.4349182661936)
Wittenbach;POINT(9.38853558076673 47.4628503628818)
Tägerwilen-Gottlieben;POINT(9.13298284870483 47.659617631284)
Triboltingen;POINT(9.10841392568074 47.6628908251811)
Ermatingen;POINT(9.08538112179271 47.67025324881)
Mannenbach-Salenstein;POINT(9.05172124809207 47.6738342659589)
Berlingen;POINT(9.0213581914846 47.6733382613528)
Steckborn;POINT(8.98103281837486 47.6645061705643)
Mammern;POINT(8.91325493017861 47.6438175014433)
Eschenz;POINT(8.87655875081722 47.6454092285377)
Bern;POINT(7.43863445847978 46.9494075359034)
Olten;POINT(7.90821080701294 47.3539055392341)
Zürich HB;POINT(8.53926831104191 47.3784256062956)
Fribourg/Freiburg;POINT(7.1491793075905 46.8010154833396)
Lausanne;POINT(6.62951289880786 46.5167745596992)
Aarau;POINT(8.05405229341005 47.3918915813276)
Lenzburg;POINT(8.1717765114103 47.3910036871096)
